"EZK.21.1", "Na EWURADZE n’asɛm baa mo hɔ, dɛ,", ""
"EZK.21.15", "Dɛm ntsi hɔn akoma etutu na hɔn a wofintsiw adɔɔ so. Medze afona no n’ano esisi hɔn mbobokɛse nyina ano, Aa! Wɔayɛ no dɛ enyinam; wɔasew ano dze ruboku.", ""
"EZK.21.16", "Twa kɔ enyimfa; gyina mpasuar do, kɔ bankum; mbrɛ w’enyi besi biara.", ""
"EZK.21.17", "Mo so mobɔbɔ me nsamu na mama m’ebufuhyew adwe: emi EWURADZE na maka.", ""
"EZK.21.18", "EWURADZE n’asɛm baa mo hɔ bio, dɛ,", ""
"EZK.21.19", "Eso onyimpa ba, kyerɛ akwan ebien ma Babilɔnhen no n’afona ndua do mbra; ebien no nyina befir asaase kor do edzi: na sensan bea bi, sensan no wɔ kwan a wɔdze kɔ kurow no mu no ne tsir do.", ""
"EZK.21.20", "Kyerɛ kwan a afona no nam do bɛba Ammonmba Rabaa, na Juda a ɔwɔ Jerusalɛm a wɔagye ho ban no mu.", ""
"EZK.21.21", "Na Babilɔnhen gyinaa nkwanta do, akwan ebien etsifi, dɛ ɔrehyɛ mbusunkɔm: ɔwosowosoow egyen menaba no, ɔkɔr ebusua honyi hɔ ebisa, ɔhwɛɛ mberɛbo mu.", ""
"EZK.21.22", "Jerusalɛm ho mbusu nkɔnhyɛ dze ne nsa nyimfa mu, dɛ wɔmfa afasubu ndadzefir nsisi, dɛ wombue ano wɔ oku mu, dɛ wɔmfa esebɔ mma ndze do, dɛ wɔmfa afasubu ndadzefir a wobesisi mbobokɛse no nsisi, dɛ wɔnhohɔr apempe nsisi, na wɔntotow aban.", ""
"EZK.21.23", "Na ɔbɛyɛ dɛ mbusu nkɔnhyɛ gyangyan wɔ hɔn enyi do, ama hɔn a wɔaka ntam egu hɔn do no: na ɔnodze, ɔma wɔkaa hɔn emumuyɛ ama wɔaakyer hɔn.", ""
"EZK.21.24", "Dɛm ntsi mbrɛ EWURADZE Nyankopɔn se nye iyi: Osiandɛ hom ayɛ ma wɔakaa hom emumuyɛ, wɔ dɛ hom mbrato ada edzi, na hom bɔn yi noho wɔ hom nyɛe nyinara mu ntsi; osiandɛ hom aba nkaa mu ntsi, wɔdze nsa bɛkyer hom.", ""
"EZK.21.25", "Na ɔwo, omumuyɛnyi otsiɔdzennyi Israelhen ɔwo a wo da edu, ewiei no no mbusu ber no a;", ""
"EZK.21.26", "mbrɛ EWURADZE Nyankopɔn se nye iyi: Hom nyi akyekyertsir no, na hom mpɔr ahembɔtsir no: ndzɛmba nnkɛyɛ dɛm daa. Ma dza ɔbrɛ adze no do, na brɛ dza ɔkrɔn no adze.", ""
"EZK.21.27", "Mubobutuw, mubobutuw, Nyew, mubobutuw no! (Dɛm bi so nnsii da,) ekodu dɛ nyia ɔyɛ nedze no bɛba; na medze ama no.", ""
"EZK.21.28", "Na ɔwo, onyimpa ba, hyɛ nkɔm, na se dɛ, Mbrɛ EWURADZE Nyankopɔn ka wɔ Ammonmba, na hɔn ahorohoraa no ho nye yi; na se dɛ, Afona, wɔatwe afona, wɔapɔw ho dze ruboku, dɛ ondzi nam, ma ɔaayɛ dɛ enyinam:", "#Jer 49.1-6; Eze 25.1-7; Amos 1.3-15; Zef 2.8-11"
"EZK.21.29", "ber a wohu egyangyandze ma wo, ber a wɔhyɛ mbusu nkɔntor ma wo, dɛ wɔdze wo bɔto emumuyɛfo etsiɔdzenfo a hɔn da edu wɔ ewiei asotweber mu no hɔn kɔn ho.", ""
"EZK.21.30", "Ma ɔnsan nkɛhyɛ no bɔha mu! Beebi mbrɛ wɔbɔɔ wo no, asaase a wɔwoo wo wɔ do no, na mubobu wo atsɛn.", ""
"EZK.21.31", "Na mubohue m’ebufuhyew egu wo do; medze m’ebufuw ne gya no mubohuw egu wo do: na mibeyi wo ahyɛ mbarimba etsirmɔdzenfo a wɔawea adzesɛɛ ho hɔn nsa.", ""
"EZK.21.32", "Ebɛyɛ nyena ama gya no; wo bɔgyaa bogu asaase no finimfin; wɔrennkaa wo bio: na emi EWURADZE na maka.", ""
