"LUK.9.1", "Na ɔfrɛɛ duebien no boaa ano, na ɔmaa hɔn ahoɔdzen nye tum wɔ mbɔnsam nyina na ayarsa do.", ""
"LUK.9.51", "Na ɔbaa dɛ nda a wɔrebɛfa no akɔ sor reyɛ edu no, osii n'adwen pi dze n'enyi kyerɛɛ dɛ ɔrokɔ Jerusalɛm,", ""
"LUK.9.52", "na ɔsomaa abɔfo dzii n'enyim kan; na wɔkɔree no, wɔkɛhɛɛn Samariafo kurow bi mu dɛ worikesiesie hɔ ama no.", ""
"LUK.9.53", "Naaso wɔanngye no, osiandɛ nna n'enyi kyerɛ Jerusalɛm.", ""
"LUK.9.54", "Na n'esuafo James nye John hunii no, wɔsee dɛ, Ewuradze, ana epɛ dɛ yɛka ma ogya fi sor ba bɛhyew hɔn?", "#2 Ahe 1.9-16"
"LUK.9.55", "Naaso Jesus daan noho twuuw hɔn enyim;", "#9.55-56 Akyerɛwfo binom dze sɔw do dɛ: hom nnyim sunsum ko a hom yɛ nedze, osiandɛ Nyimpa Ba no ammbɛsɛɛ nyimpa, mbom ɔbɛgyee hɔn nkwa."
"LUK.9.56", "Na wɔkɔr ekuroba bi so mu.", ""
"LUK.9.57", "Na wɔnam kwan mu rokɔ no, obi kaa kyerɛɛ no dɛ, Beebiara a ebɔkɔ no, mebɛka wo do.", ""
"LUK.9.58", "Na Jesus see no dɛ,  Nsɔ wɔ etu, na wimu nnoma wɔ mberɛbuw, naaso nyimpa Ba no dze, onnyi beebi a ɔdze ne tsir to.", ""
"LUK.9.59", "Na Jesus see obi so dɛ,  Ka mo do,  na ɔsee no dɛ, Ma me kwan ma monkɔ minkesie m'egya ana.", ""
"LUK.9.60", "Na ɔsee no dɛ,  Ma ewufo nsie hɔnara hɔn ewufo, na ɔwo dze, kɔ kɛka Nyankopɔn n'ahenman ho asɛm.", ""
"LUK.9.61", "Na obi so see no dɛ, Ewuradze, mebɛka wo do, na ma me kwan ma menkɛkra hɔn a wɔwɔ me fie ana.", "#1 Ahe 19.20"
"LUK.9.62", "Na Jesus see no dɛ,  Obi a ɔdze ne nsa kosuo funtumdadze no mu, na ɔhwɛ n'ekyir no, ɔmmfata Nyankopɔn ahenman no.", ""
