"GEN.24.46", "Na ɔyɛɛ ntsɛm soɛɛ n’ehina fii no kɔn ho, na ɔsee dɛ, Nom bi, na mebɛma w’efumpɔnkɔ so bi ma wɔaanom: nna monomee, na ɔmaa efumpɔnkɔ no so bi ma wɔnomee.", ""
"GEN.24.47", "Na mibisaa no dɛ, Woana babaa nye wo? Na ɔsee dɛ, Nahor ba Betuel a Milka woo no maa no no, ne babaa nye me: na medze mpɛtsea no hyɛɛ no hwen, na medze nsakɔnadze no hyehyɛɛ ne nsa.", ""
"GEN.24.48", "Na mobɔɔ me tsir adze, na mosɔɔr EWURADZE, na mihyiraa EWURADZE, mo wura Abraham ne Nyankopɔn no a ogyaa me wɔ ɔkwan pa mu dɛ membɛfa mo wura no nua ne babaa nkɛma ne ba no.", ""
"GEN.24.49", "Na afei sɛ hom bɛnye mo wura edzi no ayamuyie mu nye nokwar mu a, ɔno wɔnka nkyerɛ me: oho so a, wɔnka nkyerɛ me; ama maadan mafa enyimfa anaa abankum.", ""
"GEN.24.50", "Nna Laban nye Betuel buae na wɔsee dɛ, Asɛm no fi EWURADZE hɔ: yennkotum aka bɔn anaa papa akyerɛ wo.", ""
"GEN.24.51", "Hwɛ, Rebeka na ɔwɔ w’enyim yi, fa no kɔ, ma ɔnkɛyɛ wo wura ne ba ne yer, dɛ mbrɛ EWURADZE aka no ara.", ""
"GEN.24.52", "Na ɔbaa dɛ, aber a Abraham no somfo no tsee hɔn nsɛm no, ɔbɔɔ no mu adze wɔ famu maa EWURADZE.", ""
"GEN.24.53", "Na oyii dwetɛ egudze, nye sika egudze, nye atar, na ɔdze maa Rebeka: ɔmaa no nua nye ne na so ndzɛmba a ɔsom bo.", ""
"GEN.24.54", "Na wodzidzii na wɔnomee, ɔno nye mbanyin a wɔka no ho no, na wotsintsiim hɔ anafua no nyinara. Na wɔsoɛɛr anapa no, ɔsee dɛ, Hom ngya me kwan ma monkɔ mo wura hɔ.", ""
"GEN.24.55", "Na Rebeka no nua nye ne na see dɛ, Ma akataasia no nye hɛn ntsena nda kakra, bɛyɛ dɛ dadu; na n’ekyir no ɔaakɔ.", ""
"GEN.24.56", "Na ɔsee hɔn dɛ, Mma wonnsiw me kwan, osiandɛ EWURADZE ama mo kwan ayɛ prɔmprɔm; hom ngya me kwan ma monkɔ mo wura hɔ.", ""
"GEN.24.57", "Na wɔsee dɛ, Yɛbɛfrɛ akataasia no, na yeebisa n’anomu.", ""
"GEN.24.58", "Na wɔfrɛɛ Rebeka, na wɔsee no dɛ, Ana enye ɔbarimba yi bɔkɔ? Na ɔsee dɛ, Mobɔkɔ.", ""
"GEN.24.59", "Na wogyaa hɔn akyerɛbaa Rebeka, nye no somfo, nye Abraham somfo no, nye no nkorɔfo no kwan.", ""
"GEN.24.60", "Na wohyiraa Rebeka, na wɔsee no dɛ, Hɛn akyerɛbaa, yɛ na ma ɔpedu horow mpempem, na w’asefo nnya hɔn a wokyir hɔn hɔn mbobow mfa.", ""
"GEN.24.61", "Na Rebeka nye ne mbabaawa soɛree, na wɔtsenatsenaa efumpɔnkɔ no do, na wɔkaa banyin no do: na wosii mu kɔr hɔn kwan.", ""
"GEN.24.62", "Na Isaak fi Beer-lahai-roi kwan do aba; osiandɛ nna ɔtse Pomu Afamu Asaase no do.", ""
"GEN.24.63", "Nna Isaak puee ewimbir kɔr haban mu kɔdwendwenee: na ɔmaa n’enyiwa do, na ɔhwɛe, na hwɛ, efumpɔnkɔ reba.", ""
"GEN.24.64", "Na Rebeka maa n’enyiwa do, na aber a ohun Isaak no, ofii efumpɔnkɔ no do dwirii.", ""
"GEN.24.65", "Na obisaa Abraham no somfo no dɛ, Ebɛn banyin na ɔnam haban mu ribehyia hɛn yi? Na akowaa no see dɛ, Mo wura a: na basia no faa ne nkataenyim dze kataa noho.", ""
"GEN.24.66", "Na ɔsomfo no kaa adze a ɔyɛe nyinara kyerɛɛ Isaak.", ""
"GEN.24.67", "Na Isaak dze Rebeka baa asese a nna ne na Sara tse mu no; na ɔfaa Rebeka yɛɛ no ne yer; na ɔdɔɔ no: na Isaak no werɛ kyekyeree wɔ ne na no wu no ekyir.", ""
