"JHN.6.1", "Iyi ekyir no, Jesus sii mu kɔr Galilii po a ɔyɛ Tiberias po no egya.", ""
"JHN.6.57", "Dɛ mbrɛ Egya tseasenyi no somaa me, na mudua Egya no do metse ase no, nyia odzi mo honam no, nankasa so bodua mo do atsena ase.", ""
"JHN.6.58", "Iyi nye paanoo a ofi sor sianee bae no: nnyɛ dɛ mbrɛ hom egyanom dzii manna no na wowuwui no; nyia obedzi paanoo yi no, ɔbɛtsena ase daa.", ""
"JHN.6.59", "Ɔkaa asɛm yi wɔ ber a nna ɔrekyerɛkyerɛ wɔ Karpernaum nhyiamudan mu no.", ""
"JHN.6.60", "Dɛm ntsi n'esuafo pii tsee no, wɔsee dɛ, Asɛm yi yɛ dzen: woana botum etsie?", ""
"JHN.6.61", "Na Jesus tsee wɔ nankasa no mu dɛ n'esuafo no ruhwinhwin asɛm no ho no, ɔsee hɔn dɛ,  Ana iyi yɛ hom fintsidua?", ""
"JHN.6.62", "Na afei sɛ hom hu nyimpa Ba no dɛ ɔrofow kɔ sor mbrɛ nkan no ɔwɔ no dze ɛ?", ""
"JHN.6.63", "Sunsum nye dza ɔma nkwa, mfaso biara nnyi honam mu: nsɛm a maka akyerɛ hom no yɛ sunsum, na ɔyɛ nkwa.", ""
"JHN.6.64", "Na hom mu binom wɔ hɔ a wɔnngye nndzi.  Nna Jesus nyim hɔn a wɔnngye no nndzi no fitsi ahyɛse no ara na nyia obeyi no ama no so.", ""
"JHN.6.65", "Na ɔsee dɛ,  Iyi ntsi na mase hom dɛ obi nntum mmba mo hɔ gyedɛ Egya no ma no kwan ana.", ""
"JHN.6.66", "Ofi iyi do no, n'esuafo no pii saan ekyir, na wɔnnye no annantsew bio.", ""
"JHN.6.67", "Dɛm ntsi Jesus bisaa duebien no dɛ,  Ana hom so hom pɛ dɛ hom kɔ a?", ""
"JHN.6.68", "Simon Peter buaa no dɛ, Ewuradze, woana hɔ na yɛbɔkɔ? Ɔwo na ewɔ onnyiewiei nkwa ho nsɛm;", "#Mat 16.16; Mar 8.29; Luk 9.20"
"JHN.6.69", "na hɛn dze, yɛagye edzi na yenyim dɛ ɔwo nye Nyankopɔn no Hotseweenyi no.", ""
"JHN.6.70", "Jesus buaa hɔn dɛ,  Ana nnyɛ emi na mepaa hom duebien yi? Naaso hom mu baako yɛ abɔnsam.", ""
"JHN.6.71", "Nna Judas, Simon Iskariot ne ba no, na ɔreka no ho asɛm no: na ɔno na oribeyi no ama; eso ɔyɛ duebien no mu baako.", ""
