"MAT.26.54", "Nna dɛm a, kyerɛwnsɛm no bɛyɛ dɛn aba mu dɛ otwar dɛ ɔyɛ dɛm?", ""
"MAT.26.55", "Dɔn no ara mu na Jesus see nyimpadodow no dɛ,  Ana hom firii baa mo do dɛ owifo do, na hom dze nkrantsee nye mpɔtsibaa rebɛkyer me yi? Daa nna metse asɔrfi mu rekyerɛkyerɛ no, hom annkyer me.", "#Luk 19.47; 21.37"
"MAT.26.56", "Na yinom nyina yɛe ma nkɔnhyɛfo no kyerɛwnsɛm no aaba mu. Nna esuafo no nyina gyaa no hɔ, na woguanee.", ""
"MAT.26.57", "Na hɔn a wɔkyeer Jesus no dze no kɔr Kaiafas ɔsɔfopanyin no nkyɛn, mbrɛ kyerɛwfo nye mpanyimfo no ehyia.", ""
"MAT.26.58", "Na Peter dzii n’ekyir wɔ ekyirekyir dze kodur ɔsɔfopanyin n’abanguado, na ɔkɛhɛɛn mu nye asomfo no kɛtsenaa hɔ dɛ ɔrohwɛ dza obesi.", ""
"MAT.26.59", "Na asɔfompanyin nye baguafo no nyina hwehwɛɛ Jesus ho dasekrum dze eku no:", ""
"MAT.26.60", "na adasetorfo pii bae naaso woennya bi. Na ekyir no beenu bae.", ""
"MAT.26.61", "Na wɔsee dɛ, Oyi kaa dɛ, Mubotum medwuruw Nyankopɔn asɔrdan no na mesi no ndaansa.", "#Joh 2.19"
"MAT.26.62", "Na ɔsɔfopanyin no gyinae na ɔsee no dɛ, Irummbua bi? Ebɛnadze na yinom ridzi dase tsia wo yi?", ""
"MAT.26.63", "Na Jesus muaa n’ano. Na ɔsɔfopanyin no see no dɛ, Meka tsease Nyankopɔn dɛ sɛ ɔwo nye Kraest no, Nyankopɔn ba no a, ka kyerɛ hɛn.", ""
"MAT.26.64", "Jesus see no dɛ,  Aka: eso mese wo dɛ, Ofi ndɛ hom bohu nyimpa Ba no dɛ ɔtse tum no nsa nyimfa, na ɔreba wɔ sor nsuwusiw do.", "#Dan 7.13"
"MAT.26.65", "Nna ɔsɔfopanyin no sunsuaan n’atar mu, na ɔsee dɛ, Ɔaka ebususɛm: ebɛn hia na ohia hɛn adasefo bio? Hwɛ, afei hom atse ebususɛm no:", "#Lev 24.16"
"MAT.26.66", "hom dwen dɛn? Wobuae see dɛ Ɔsɛ owu.", ""
"MAT.26.67", "Nna wohinaa n’enyi do ntafi, na wɔbobɔɔ no ekutuku, na binom so bobɔɔ no asotɔr dɛ,", "#Isa 50.6"
"MAT.26.68", "Kraest, kyerɛ hɛn! Woana na ɔbɔɔ wo?", ""
"MAT.26.69", "Nna Peter dze, ɔtse abangua no do hɔ; na abaawa bi baa ne nkyɛn bɛsee dɛ, Ɔwo so enye Jesus Galiliinyi no nam.", ""
"MAT.26.70", "Na ɔsanee wɔ hɔn nyina enyim dɛ, Minnyim dza ereka yi.", ""
"MAT.26.71", "Na ofiir edzi kɔr paado no, abaawa bi so hun no, na ɔsee hɔn a wɔwɔ hɔ no dɛ, Oyi so nye Jesus Nazarɛtnyi no nam.", ""
"MAT.26.72", "Na bio ɔdze ntanka saan dɛ, Minnyim nyimpa no.", ""
"MAT.26.73", "Na ɔkyɛɛr kakra no hɔn a wogyina hɔ no bae bɛsee Peter dɛ, Ampa dɛ ifi hɔn mu, na wo kasaa yi wo edzi.", ""
"MAT.26.74", "Nna ɔhyɛɛ ase dzii nsew na ɔkekaa ntam dɛ, Minnyim nyimpa no. Na ntsɛmara na akokɔ bɔnee.", ""
"MAT.26.75", "Na Peter kaa Jesus n’asɛm a ɔkaa kyerɛɛ no dɛ, Ansaana akokɔ bɔbɔn no, na apa me mprɛnsa. Na ofiir edzi, na okosuu yayaayaw.", ""
