"NUM.26.56", "Dɛ mbrɛ tonto no tse no na wɔmfa nkyɛ hɔn egyapadze no mma hɔn a wɔso nye hɔn a wosuar.", ""
"NUM.26.57", "Na iyinom nye hɔn a wɔkaan hɔn wɔ Levifo mu dɛ mbrɛ hɔn ebusua ebusua tsetsee: Gerson dze, Gersonfo ebusua: Kohat dze, Kohatfo ebusua: Merari dze, Merarifo ebusua.", ""
"NUM.26.58", "Iyinom nye Levi ebusua ebusua: Libnifo ebusua, Hebronfo ebusua, Mahilifo ebusua, Korafo ebusua. Na Kohat woo Amram.", ""
"NUM.26.59", "Na Amram ne yer dzin dze Jokebed, Levi ne babaa a wɔwoo no ma Levi wɔ Egypt no a: na ɔwoo Aaron nye Moses nye hɔn akyerɛbaa Miriam maa Amram.", ""
"NUM.26.60", "Na Aaron so wɔwoo Nadab nye Abihu, Eleazar nye Itamar maa no.", ""
"NUM.26.61", "Na Nadab nye Abihu wuwui, wɔ aber a wɔdze ananagya baa EWURADZE enyim no.", ""
"NUM.26.62", "Na hɔn a wɔkaan hɔn wɔ mu wɔyɛ mpemeduonu ebiasa, banyin biara a oedzi bosoom nye ekyir no: na wɔannkan hɔn ammfora Israelmba, osiandɛ wɔamma hɔn egyapadze wɔ Israelmba no mu.", ""
"NUM.26.63", "Iyinom nye hɔn a Moses nye ɔsɔfo Eleazar kaan hɔn no; hɔn a wɔkaan Israelmba wɔ Moab tɛtɛr mu wɔ Jeriko Jordan ho no a.", ""
"NUM.26.64", "Na iyinom mu dze ɔbanyin biara nnyi mu a ofi hɔn a Moses nye ɔsɔfo Aaron kaan hɔn wɔ aber a wɔkaan Israelmba wɔ Sinai sar do no mu.", ""
"NUM.26.65", "Na EWURADZE aka no wɔ hɔn ho dɛ, Owu na wobowuwu wɔ sar no do. Na hɔn mu nyimpa biara annka, gyedɛ Jefune ne babanyin Kaleb, nye Nun ne babanyin Josua.", ""
